subid,condition,trialnum,item,sentence.type,neg.concept,neg.syntax,truth.value,rating
16,noContext,2,cat,positive,,,TRUE,7
16,noContext,3,bus,negative,something,doesn't have,TRUE,5
16,noContext,4,fork,negative,nothing,has no,TRUE,7
16,noContext,5,apple,negative,,has no,FALSE,1
16,noContext,6,car,negative,nothing,has no,TRUE,6
16,noContext,7,bowl,negative,nothing,doesn't have,TRUE,2
16,noContext,8,spoon,negative,something,doesn't have,TRUE,5
16,noContext,9,horse,negative,something,has no,TRUE,5
16,noContext,10,banana,positive,something,,FALSE,2
16,noContext,11,boat,positive,,,TRUE,7
16,noContext,12,dog,negative,nothing,doesn't have,TRUE,3
16,noContext,13,truck,positive,,,TRUE,7
16,noContext,14,cow,negative,,doesn't have,FALSE,1
16,noContext,15,orange,positive,,,TRUE,7
16,noContext,16,plate,negative,something,has no,TRUE,5
17,context,1,plate,positive,,,TRUE,6
17,context,2,orange,negative,,doesn't have,FALSE,1
17,context,3,banana,positive,nothing,,FALSE,1
17,context,4,bowl,positive,,,TRUE,7
17,context,5,dog,negative,nothing,has no,TRUE,1
17,context,6,apple,negative,,has no,FALSE,1
17,context,7,car,positive,,,TRUE,7
17,context,8,horse,negative,something,has no,TRUE,6
17,context,9,truck,positive,something,,FALSE,1
17,context,10,cat,negative,something,doesn't have,TRUE,6
17,context,11,boat,positive,,,TRUE,7
17,context,12,bus,negative,something,doesn't have,TRUE,4
17,context,13,fork,negative,nothing,has no,TRUE,7
17,context,14,spoon,negative,nothing,doesn't have,TRUE,7
17,context,15,cow,negative,something,has no,TRUE,4
17,context,16,cookie,negative,nothing,doesn't have,TRUE,7
18,context,1,orange,negative,nothing,has no,TRUE,7
18,context,2,apple,negative,nothing,has no,TRUE,7
18,context,3,cow,negative,something,doesn't have,TRUE,7
18,context,4,banana,positive,,,TRUE,7
18,context,5,plate,positive,,,TRUE,7
18,context,6,boat,negative,,doesn't have,FALSE,1
18,context,7,spoon,positive,nothing,,FALSE,1
18,context,8,fork,negative,something,has no,TRUE,6
18,context,9,bowl,positive,,,TRUE,7
18,context,10,cat,negative,something,doesn't have,TRUE,7
18,context,11,horse,negative,nothing,doesn't have,TRUE,7
18,context,12,car,negative,something,has no,TRUE,7
18,context,13,cookie,positive,,,TRUE,7
18,context,14,dog,positive,something,,FALSE,1
18,context,15,bus,negative,nothing,doesn't have,TRUE,7
18,context,16,truck,negative,,has no,FALSE,1
19,noContext,1,bus,positive,something,,FALSE,2
19,noContext,2,truck,positive,,,TRUE,5
19,noContext,3,boat,negative,,doesn't have,FALSE,2
19,noContext,4,orange,negative,something,has no,TRUE,2
19,noContext,5,bowl,negative,nothing,doesn't have,TRUE,6
19,noContext,6,fork,positive,,,TRUE,6
19,noContext,7,cat,positive,nothing,,FALSE,2
19,noContext,8,horse,negative,something,doesn't have,TRUE,6
19,noContext,9,dog,negative,nothing,doesn't have,TRUE,6
19,noContext,10,apple,negative,something,has no,TRUE,2
19,noContext,11,banana,negative,nothing,has no,TRUE,6
19,noContext,12,cow,positive,,,TRUE,7
19,noContext,13,cookie,negative,something,doesn't have,TRUE,5
19,noContext,14,plate,positive,,,TRUE,6
19,noContext,15,spoon,negative,nothing,has no,TRUE,5
19,noContext,16,car,negative,,has no,FALSE,2
20,context,1,bus,negative,something,doesn't have,TRUE,5
20,context,2,car,negative,,doesn't have,FALSE,2
20,context,3,dog,negative,nothing,doesn't have,TRUE,6
20,context,4,spoon,positive,,,TRUE,6
20,context,5,fork,negative,something,has no,TRUE,4
20,context,6,cow,positive,,,TRUE,6
20,context,7,truck,negative,something,doesn't have,TRUE,6
20,context,8,bowl,negative,nothing,doesn't have,TRUE,6
20,context,9,apple,positive,,,TRUE,6
20,context,10,banana,negative,nothing,has no,TRUE,4
20,context,11,horse,negative,,has no,FALSE,2
20,context,12,cookie,positive,nothing,,FALSE,2
20,context,13,cat,positive,something,,FALSE,2
20,context,14,boat,negative,nothing,has no,TRUE,4
20,context,15,plate,positive,,,TRUE,6
20,context,16,orange,negative,something,has no,TRUE,4
21,noContext,1,cow,negative,,doesn't have,FALSE,1
21,noContext,2,apple,positive,,,TRUE,7
21,noContext,3,cat,negative,nothing,has no,TRUE,3
21,noContext,4,spoon,negative,something,doesn't have,TRUE,7
21,noContext,5,fork,positive,,,TRUE,7
21,noContext,6,cookie,negative,nothing,has no,TRUE,1
21,noContext,7,boat,negative,something,has no,TRUE,1
21,noContext,8,horse,negative,something,has no,TRUE,1
21,noContext,9,banana,negative,,has no,FALSE,1
21,noContext,10,car,positive,nothing,,FALSE,2
21,noContext,11,orange,positive,something,,FALSE,2
21,noContext,12,truck,positive,,,TRUE,7
21,noContext,13,bus,negative,nothing,doesn't have,TRUE,6
21,noContext,14,bowl,negative,something,doesn't have,TRUE,5
21,noContext,15,dog,positive,,,TRUE,7
21,noContext,16,plate,negative,nothing,doesn't have,TRUE,6
22,context,1,banana,positive,,,TRUE,7
22,context,2,cat,positive,something,,FALSE,6
22,context,3,car,positive,nothing,,FALSE,6
22,context,1,cat,negative,nothing,has no,TRUE,7
22,context,2,banana,positive,,,TRUE,7
22,context,3,fork,negative,something,doesn't have,TRUE,6
22,context,4,dog,negative,something,has no,TRUE,6
22,context,5,cookie,negative,nothing,doesn't have,TRUE,7
22,context,6,boat,negative,,doesn't have,FALSE,1
22,context,7,apple,negative,,has no,FALSE,1
22,context,8,car,positive,something,,FALSE,1
22,context,9,orange,negative,nothing,doesn't have,TRUE,7
22,context,10,spoon,positive,,,TRUE,7
22,context,11,cow,positive,nothing,,FALSE,1
22,context,12,bowl,positive,,,TRUE,7
22,context,13,bus,negative,something,has no,TRUE,6
22,context,14,truck,positive,,,TRUE,7
22,context,15,horse,negative,nothing,has no,TRUE,5
22,context,16,plate,negative,something,doesn't have,TRUE,6
23,context,1,truck,negative,something,has no,TRUE,5
23,context,2,orange,positive,,,TRUE,7
23,context,3,banana,positive,,,TRUE,7
23,context,4,car,negative,something,has no,TRUE,3
23,context,5,cat,negative,nothing,doesn't have,TRUE,7
23,context,6,apple,negative,nothing,doesn't have,TRUE,7
23,context,7,dog,negative,nothing,has no,TRUE,6
23,context,8,boat,positive,something,,FALSE,1
23,context,9,bus,negative,,doesn't have,FALSE,1
23,context,10,plate,positive,,,TRUE,7
23,context,11,fork,negative,something,doesn't have,TRUE,6
23,context,12,horse,positive,nothing,,FALSE,1
23,context,13,bowl,negative,,has no,FALSE,2
23,context,14,spoon,positive,,,TRUE,7
23,context,15,cookie,negative,something,doesn't have,TRUE,7
23,context,16,cow,negative,nothing,has no,TRUE,5
24,context,1,horse,negative,nothing,doesn't have,TRUE,7
24,context,2,car,negative,something,doesn't have,TRUE,7
24,context,3,apple,negative,,doesn't have,FALSE,1
24,context,4,bowl,positive,nothing,,FALSE,1
24,context,5,banana,negative,,has no,FALSE,1
24,context,6,fork,negative,something,has no,TRUE,6
24,context,7,cat,negative,something,doesn't have,TRUE,7
24,context,8,cow,negative,nothing,doesn't have,TRUE,7
24,context,9,orange,positive,,,TRUE,7
24,context,10,truck,negative,nothing,has no,TRUE,6
24,context,11,spoon,negative,something,has no,TRUE,6
24,context,12,boat,negative,nothing,has no,TRUE,6
24,context,13,plate,positive,,,TRUE,7
24,context,14,dog,positive,something,,FALSE,1
24,context,15,cookie,positive,,,TRUE,7
24,context,16,bus,positive,,,TRUE,7
25,noContext,1,cow,negative,nothing,doesn't have,TRUE,6
25,noContext,2,car,positive,nothing,,FALSE,2
25,noContext,3,bowl,negative,something,has no,TRUE,6
25,noContext,4,spoon,negative,,doesn't have,FALSE,1
25,noContext,5,cookie,positive,something,,FALSE,1
25,noContext,6,plate,negative,something,doesn't have,TRUE,6
25,noContext,7,apple,positive,,,TRUE,7
25,noContext,8,orange,positive,,,TRUE,7
25,noContext,9,cat,negative,something,has no,TRUE,6
25,noContext,10,dog,negative,nothing,has no,TRUE,7
25,noContext,11,horse,negative,nothing,has no,TRUE,7
25,noContext,12,bus,positive,,,TRUE,7
25,noContext,13,fork,negative,nothing,doesn't have,TRUE,7
25,noContext,14,boat,negative,something,doesn't have,TRUE,7
25,noContext,15,truck,positive,,,TRUE,7
25,noContext,16,banana,negative,,has no,FALSE,1
26,context,1,dog,negative,,has no,FALSE,1
26,context,2,banana,negative,,doesn't have,FALSE,1
26,context,3,bus,positive,,,TRUE,7
26,context,4,orange,negative,something,doesn't have,TRUE,7
26,context,5,boat,negative,nothing,has no,TRUE,6
26,context,6,cat,positive,nothing,,FALSE,1
26,context,7,plate,negative,nothing,doesn't have,TRUE,7
26,context,8,spoon,positive,,,TRUE,7
26,context,9,truck,negative,nothing,doesn't have,TRUE,6
26,context,10,car,negative,something,doesn't have,TRUE,6
26,context,11,fork,negative,nothing,has no,TRUE,6
26,context,12,cow,positive,,,TRUE,7
26,context,13,horse,positive,something,,FALSE,1
26,context,14,bowl,positive,,,TRUE,7
26,context,15,cookie,negative,something,has no,TRUE,5
26,context,16,apple,negative,something,has no,TRUE,5
27,noContext,1,cookie,negative,,doesn't have,FALSE,1
27,noContext,2,plate,positive,,,TRUE,7
27,noContext,3,cat,positive,,,TRUE,7
27,noContext,4,apple,negative,nothing,has no,TRUE,7
27,noContext,5,bus,negative,something,doesn't have,TRUE,6
27,noContext,6,boat,positive,nothing,,FALSE,1
27,noContext,7,dog,negative,nothing,has no,TRUE,6
27,noContext,8,spoon,positive,something,,FALSE,1
27,noContext,9,fork,negative,something,has no,TRUE,6
27,noContext,10,banana,negative,,has no,FALSE,1
27,noContext,11,cow,negative,something,doesn't have,TRUE,6
27,noContext,12,orange,positive,,,TRUE,7
27,noContext,13,truck,negative,nothing,doesn't have,TRUE,6
27,noContext,14,car,negative,nothing,doesn't have,TRUE,6
27,noContext,15,horse,negative,something,has no,TRUE,6
27,noContext,16,bowl,positive,,,TRUE,7
28,context,1,plate,negative,nothing,has no,TRUE,7
28,context,2,fork,positive,,,TRUE,7
28,context,3,orange,positive,,,TRUE,7
28,context,4,horse,negative,nothing,has no,TRUE,1
28,context,5,cow,negative,,has no,FALSE,1
28,context,6,car,positive,nothing,,FALSE,1
28,context,7,cat,negative,something,has no,TRUE,7
28,context,8,boat,negative,something,has no,TRUE,7
28,context,9,dog,negative,something,doesn't have,TRUE,7
28,context,10,bus,positive,something,,FALSE,1
28,context,11,spoon,positive,,,TRUE,7
28,context,12,cookie,negative,,doesn't have,FALSE,1
28,context,13,banana,negative,nothing,doesn't have,TRUE,7
28,context,14,apple,negative,something,doesn't have,TRUE,7
28,context,15,truck,positive,,,TRUE,7
28,context,16,bowl,negative,nothing,doesn't have,TRUE,7
29,context,1,bus,negative,nothing,has no,TRUE,7
29,context,2,boat,negative,something,has no,TRUE,7
29,context,3,orange,negative,something,doesn't have,TRUE,7
29,context,4,apple,negative,nothing,doesn't have,TRUE,7
29,context,5,cow,negative,something,has no,TRUE,4
29,context,6,cat,positive,,,TRUE,7
29,context,7,car,negative,,doesn't have,FALSE,1
29,context,8,bowl,positive,,,TRUE,7
29,context,9,dog,negative,,has no,FALSE,1
29,context,10,plate,positive,nothing,,FALSE,1
29,context,11,horse,positive,something,,FALSE,1
29,context,12,fork,positive,,,TRUE,7
29,context,13,banana,positive,,,TRUE,7
29,context,14,cookie,negative,nothing,doesn't have,TRUE,7
29,context,15,truck,negative,something,doesn't have,TRUE,7
29,context,16,spoon,negative,nothing,has no,TRUE,6
30,noContext,1,horse,positive,nothing,,FALSE,6
30,noContext,2,bowl,negative,something,has no,TRUE,7
30,noContext,3,dog,positive,something,,FALSE,1
30,noContext,4,bus,negative,nothing,has no,TRUE,7
30,noContext,5,car,negative,nothing,doesn't have,TRUE,7
30,noContext,6,cat,negative,something,has no,TRUE,7
30,noContext,7,orange,negative,nothing,has no,TRUE,7
30,noContext,8,banana,positive,,,TRUE,7
30,noContext,9,boat,negative,something,doesn't have,TRUE,7
30,noContext,10,truck,negative,nothing,doesn't have,TRUE,7
30,noContext,11,cookie,negative,,doesn't have,FALSE,1
30,noContext,12,cow,positive,,,TRUE,7
30,noContext,13,fork,positive,,,TRUE,7
30,noContext,14,plate,negative,something,doesn't have,TRUE,7
30,noContext,15,spoon,negative,,has no,FALSE,1
30,noContext,16,apple,positive,,,TRUE,7
31,noContext,1,spoon,positive,,,TRUE,5
31,noContext,2,banana,negative,something,has no,TRUE,2
31,noContext,3,boat,negative,nothing,has no,TRUE,3
31,noContext,4,bowl,negative,nothing,doesn't have,TRUE,5
31,noContext,5,car,positive,,,TRUE,7
31,noContext,6,dog,negative,,doesn't have,FALSE,3
31,noContext,7,fork,negative,nothing,has no,TRUE,3
31,noContext,8,cow,negative,something,has no,TRUE,6
31,noContext,9,horse,negative,,has no,FALSE,1
31,noContext,10,plate,positive,,,TRUE,7
31,noContext,11,bus,negative,something,doesn't have,TRUE,4
31,noContext,12,cookie,negative,something,doesn't have,TRUE,6
31,noContext,13,cat,positive,nothing,,FALSE,1
31,noContext,14,truck,negative,nothing,doesn't have,TRUE,6
31,noContext,15,orange,positive,something,,FALSE,1
31,noContext,16,apple,positive,,,TRUE,7
32,context,1,dog,negative,,doesn't have,FALSE,1
32,context,2,plate,negative,something,doesn't have,TRUE,7
32,context,3,cookie,negative,something,doesn't have,TRUE,7
32,context,4,cow,positive,,,TRUE,7
32,context,5,apple,positive,,,TRUE,7
32,context,6,truck,positive,,,TRUE,7
32,context,7,cat,positive,nothing,,FALSE,1
32,context,8,car,negative,nothing,has no,TRUE,7
32,context,9,bus,positive,something,,FALSE,1
32,context,10,spoon,negative,nothing,has no,TRUE,7
32,context,11,fork,negative,something,has no,TRUE,7
32,context,12,banana,positive,,,TRUE,7
32,context,13,horse,negative,nothing,doesn't have,TRUE,7
32,context,14,bowl,negative,nothing,doesn't have,TRUE,7
32,context,15,orange,negative,,has no,FALSE,1
32,context,16,boat,negative,something,has no,TRUE,7
33,noContext,1,dog,positive,,,TRUE,7
33,noContext,2,apple,negative,nothing,doesn't have,TRUE,7
33,noContext,3,spoon,negative,,doesn't have,FALSE,1
33,noContext,4,cat,positive,something,,FALSE,1
33,noContext,5,horse,positive,,,TRUE,7
33,noContext,6,car,positive,,,TRUE,7
33,noContext,7,orange,negative,nothing,has no,TRUE,1
33,noContext,8,bowl,negative,something,doesn't have,TRUE,6
33,noContext,9,cookie,negative,something,has no,TRUE,1
33,noContext,10,cow,negative,,has no,FALSE,2
33,noContext,11,plate,negative,nothing,doesn't have,TRUE,7
33,noContext,12,truck,negative,something,doesn't have,TRUE,7
33,noContext,13,fork,negative,something,has no,TRUE,6
33,noContext,14,bus,positive,nothing,,FALSE,1
33,noContext,15,boat,positive,,,TRUE,7
33,noContext,16,banana,negative,nothing,has no,TRUE,7
34,context,1,plate,positive,nothing,,FALSE,1
34,context,2,cat,positive,,,TRUE,7
34,context,3,cow,negative,,has no,FALSE,1
34,context,4,car,positive,something,,FALSE,1
34,context,5,bowl,positive,,,TRUE,6
34,context,6,banana,negative,something,doesn't have,TRUE,4
34,context,7,boat,negative,something,doesn't have,TRUE,4
34,context,8,orange,negative,nothing,doesn't have,TRUE,6
34,context,9,bus,negative,nothing,has no,TRUE,6
34,context,10,truck,negative,,doesn't have,FALSE,1
34,context,11,fork,negative,nothing,has no,TRUE,6
34,context,12,apple,negative,something,has no,TRUE,4
34,context,13,horse,negative,something,has no,TRUE,4
34,context,14,spoon,negative,nothing,doesn't have,TRUE,6
34,context,15,dog,positive,,,TRUE,7
34,context,16,cookie,positive,,,TRUE,7
35,noContext,1,bowl,positive,,,TRUE,7
35,noContext,2,apple,negative,nothing,has no,TRUE,6
35,noContext,3,bus,positive,something,,FALSE,1
35,noContext,4,car,negative,nothing,doesn't have,TRUE,3
35,noContext,5,fork,positive,nothing,,FALSE,1
35,noContext,6,banana,negative,nothing,doesn't have,TRUE,4
35,noContext,7,cow,positive,,,TRUE,7
