subid,condition,trialnum,item,sentence.type,truth.value,rating
13,target,4,bear,negative,FALSE,1
13,target,5,fork,positive,TRUE,6
13,foil,6,dog,negative,FALSE,1
13,foil,7,bicycle,negative,TRUE,5
13,target,8,cow,negative,TRUE,5
13,foil,9,banana,positive,TRUE,6
13,none,10,airplane,positive,FALSE,1
13,foil,11,cat,negative,TRUE,5
13,target,12,horse,positive,TRUE,6
13,foil,13,pizza,positive,TRUE,6
13,none,14,apple,positive,TRUE,7
13,none,15,bowl,negative,TRUE,6
13,none,16,brush,positive,TRUE,7
13,target,17,plate,positive,FALSE,1
13,target,18,bus,negative,TRUE,6
13,foil,19,car,negative,TRUE,6
13,foil,20,spoon,positive,FALSE,1
13,target,21,bunny,negative,TRUE,6
13,foil,22,cup,positive,TRUE,6
13,none,23,truck,negative,TRUE,6
13,target,24,orange,positive,TRUE,7
14,target,1,plate,negative,TRUE,4
14,none,2,airplane,negative,TRUE,4
14,none,3,cup,positive,FALSE,3
14,none,4,bowl,negative,FALSE,6
14,target,5,bear,positive,TRUE,6
14,target,6,bus,positive,TRUE,6
14,target,7,horse,negative,FALSE,2
14,none,8,bicycle,negative,TRUE,4
14,foil,9,brush,positive,FALSE,2
14,foil,10,apple,positive,TRUE,6
14,target,11,car,positive,TRUE,6
14,foil,12,cookie,positive,TRUE,6
14,none,13,cat,positive,TRUE,6
14,target,14,pizza,negative,TRUE,6
14,foil,15,dog,negative,FALSE,2
14,target,16,boat,positive,FALSE,6
14,none,17,fork,positive,TRUE,6
14,target,18,truck,negative,TRUE,2
14,foil,19,banana,negative,TRUE,6
14,none,20,bunny,negative,TRUE,2
14,foil,21,spoon,negative,TRUE,6
14,foil,22,cupcake,positive,TRUE,2
14,foil,23,cow,negative,TRUE,6
14,none,24,orange,positive,TRUE,2
15,target,1,cup,positive,TRUE,7
15,target,2,truck,positive,FALSE,1
15,none,3,plate,negative,FALSE,1
15,foil,4,boat,positive,TRUE,7
15,target,5,cow,negative,TRUE,6
15,none,6,pizza,positive,TRUE,6
15,none,7,car,positive,TRUE,7
15,target,8,bowl,negative,TRUE,6
15,target,9,cupcake,negative,TRUE,6
15,foil,10,cookie,negative,FALSE,1
15,target,11,fork,negative,FALSE,1
15,foil,12,horse,positive,TRUE,7
15,none,13,orange,negative,TRUE,5
15,foil,14,airplane,negative,TRUE,5
15,foil,15,apple,negative,TRUE,5
15,none,16,spoon,negative,TRUE,3
15,target,17,brush,positive,TRUE,7
15,foil,18,bear,positive,TRUE,7
15,none,19,bicycle,positive,TRUE,7
15,foil,20,bunny,negative,TRUE,3
15,target,21,bus,positive,TRUE,7
15,none,22,dog,positive,FALSE,1
15,none,23,cat,negative,TRUE,3
15,foil,24,banana,positive,FALSE,1
16,none,1,bunny,negative,TRUE,7
16,foil,1,bowl,positive,FALSE,1
16,none,2,apple,positive,TRUE,7
16,target,3,orange,negative,TRUE,7
16,target,4,cookie,positive,FALSE,1
16,foil,5,cat,negative,TRUE,7
16,target,6,cow,negative,TRUE,7
16,foil,7,bus,positive,TRUE,7
16,none,8,spoon,negative,TRUE,7
16,foil,9,brush,positive,TRUE,7
16,none,10,cupcake,negative,TRUE,7
16,target,11,car,positive,TRUE,7
16,foil,12,dog,negative,FALSE,1
16,foil,13,boat,negative,TRUE,7
16,foil,14,plate,negative,TRUE,7
16,target,15,pizza,negative,TRUE,7
16,none,16,horse,negative,FALSE,1
16,target,17,airplane,negative,FALSE,7
16,none,18,fork,negative,TRUE,6
16,none,19,banana,positive,TRUE,7
16,foil,20,cup,positive,TRUE,7
16,none,21,bunny,positive,TRUE,7
16,target,22,truck,positive,TRUE,7
16,none,23,bicycle,positive,FALSE,2
16,target,24,bear,positive,TRUE,7
17,foil,1,cat,negative,TRUE,6
17,target,2,pizza,negative,FALSE,3
17,target,3,dog,positive,FALSE,7
17,target,4,orange,negative,TRUE,5
17,foil,5,plate,negative,TRUE,5
17,target,6,bicycle,negative,TRUE,6
17,none,7,cup,negative,TRUE,3
17,target,8,fork,positive,TRUE,6
17,target,9,airplane,negative,TRUE,4
17,none,10,spoon,positive,TRUE,6
17,foil,11,brush,negative,TRUE,5
17,none,12,cow,positive,FALSE,5
17,foil,13,banana,negative,FALSE,3
17,none,14,boat,negative,FALSE,3
17,target,15,bowl,positive,TRUE,6
17,target,16,cookie,positive,TRUE,6
17,none,17,car,negative,TRUE,5
17,none,18,bus,positive,TRUE,5
17,none,19,apple,positive,TRUE,6
17,foil,20,cupcake,positive,TRUE,7
17,foil,21,horse,positive,FALSE,6
17,foil,22,truck,positive,TRUE,7
17,none,23,bunny,negative,TRUE,5
17,foil,24,bear,positive,TRUE,6
18,none,1,airplane,negative,TRUE,3
18,none,2,brush,positive,TRUE,6
18,target,3,spoon,positive,FALSE,3
18,target,4,cookie,positive,TRUE,6
18,target,5,cow,positive,TRUE,5
18,target,6,horse,negative,TRUE,2
18,none,7,truck,positive,TRUE,6
18,foil,8,cat,negative,TRUE,4
18,foil,9,dog,negative,TRUE,5
18,none,10,apple,negative,TRUE,5
18,target,11,bear,negative,FALSE,2
18,foil,12,plate,positive,FALSE,5
18,none,13,banana,negative,FALSE,2
18,target,14,bicycle,positive,TRUE,7
18,none,15,car,positive,TRUE,7
18,target,16,cupcake,negative,TRUE,2
18,foil,17,boat,negative,FALSE,3
18,none,18,orange,positive,FALSE,2
18,target,19,fork,negative,TRUE,2
18,foil,20,cup,positive,TRUE,6
18,none,21,bunny,negative,TRUE,5
18,foil,22,bowl,negative,TRUE,5
18,foil,23,bus,positive,TRUE,6
18,foil,24,pizza,positive,TRUE,6
19,target,1,horse,positive,TRUE,7
19,none,2,orange,negative,TRUE,6
19,target,3,dog,negative,FALSE,1
19,foil,4,boat,negative,TRUE,6
19,foil,5,cookie,negative,TRUE,6
19,target,6,bear,positive,TRUE,7
19,target,7,brush,negative,TRUE,6
19,foil,8,car,positive,TRUE,7
19,foil,9,bowl,positive,TRUE,7
19,foil,10,cat,negative,FALSE,1
19,none,11,pizza,positive,FALSE,1
19,none,12,fork,negative,FALSE,1
19,none,13,banana,positive,TRUE,7
19,foil,14,bus,positive,TRUE,7
19,none,15,plate,positive,TRUE,7
19,target,16,bicycle,negative,TRUE,6
19,none,17,cup,positive,TRUE,7
19,foil,18,apple,negative,TRUE,6
19,none,19,truck,negative,TRUE,6
19,target,20,cow,positive,TRUE,7
19,target,21,airplane,positive,FALSE,1
19,none,22,spoon,negative,TRUE,6
19,target,23,cupcake,negative,TRUE,6
19,foil,24,bunny,positive,FALSE,1
20,foil,1,cupcake,positive,TRUE,7
20,target,2,car,positive,FALSE,1
20,target,3,airplane,negative,FALSE,1
20,target,4,plate,positive,TRUE,7
20,none,5,boat,positive,TRUE,7
20,foil,6,cup,negative,TRUE,6
20,foil,7,cat,negative,FALSE,1
20,foil,8,brush,negative,TRUE,7
20,none,9,dog,positive,TRUE,7
20,none,10,pizza,negative,TRUE,7
20,foil,11,bowl,positive,FALSE,1
20,target,12,truck,positive,TRUE,7
20,target,13,orange,negative,TRUE,1
20,none,14,cow,negative,TRUE,7
20,foil,15,fork,positive,TRUE,7
20,foil,16,horse,positive,TRUE,7
20,target,17,banana,positive,TRUE,7
20,foil,18,bus,negative,TRUE,7
20,target,19,cookie,negative,TRUE,7
20,none,20,apple,negative,FALSE,1
20,none,21,bicycle,positive,FALSE,2
20,target,22,bear,negative,TRUE,6
20,none,23,bunny,negative,TRUE,6
20,none,24,spoon,positive,TRUE,7
21,none,1,cupcake,negative,FALSE,1
21,foil,2,bus,positive,TRUE,7
21,none,3,orange,negative,TRUE,6
21,target,4,dog,negative,TRUE,6
21,target,5,truck,positive,TRUE,7
21,none,6,brush,positive,TRUE,7
21,none,7,fork,negative,TRUE,6
21,target,8,spoon,negative,TRUE,6
21,target,9,boat,positive,TRUE,7
21,target,10,bicycle,negative,TRUE,6
21,foil,11,cup,positive,TRUE,7
21,foil,12,cookie,positive,FALSE,1
21,foil,13,bear,positive,TRUE,7
21,foil,14,plate,negative,TRUE,6
21,none,15,airplane,negative,TRUE,6
21,foil,16,bunny,negative,TRUE,6
21,foil,17,car,negative,TRUE,6
21,foil,18,horse,negative,FALSE,1
21,none,19,cow,positive,FALSE,1
21,none,20,banana,positive,TRUE,7
21,target,21,apple,negative,FALSE,1
21,target,22,pizza,positive,FALSE,1
21,target,23,bowl,positive,TRUE,7
21,none,24,cat,positive,TRUE,7
22,target,1,cup,negative,TRUE,7
22,none,2,truck,negative,FALSE,1
22,none,3,brush,positive,TRUE,7
22,foil,4,airplane,positive,TRUE,7
22,target,5,cat,positive,TRUE,7
22,target,6,spoon,negative,TRUE,7
22,target,7,bicycle,negative,FALSE,1
22,target,8,apple,positive,TRUE,7
22,target,9,horse,positive,FALSE,1
22,none,10,cupcake,negative,TRUE,7
22,none,11,bus,negative,TRUE,7
22,none,12,cow,negative,TRUE,7
22,target,13,bunny,negative,TRUE,7
22,target,14,orange,positive,TRUE,7
22,foil,15,plate,positive,TRUE,7
22,foil,16,fork,negative,TRUE,7
22,foil,17,pizza,negative,TRUE,7
22,foil,19,cookie,negative,TRUE,7
22,none,20,banana,positive,TRUE,7
22,none,21,bear,positive,FALSE,1
22,foil,22,bowl,positive,TRUE,7
22,none,23,boat,positive,TRUE,7
22,foil,24,dog,negative,FALSE,1
23,target,1,cookie,positive,TRUE,6
23,target,2,apple,positive,FALSE,1
23,target,3,horse,positive,TRUE,6
23,none,4,cup,positive,TRUE,7
23,target,5,cupcake,negative,TRUE,6
23,none,6,bunny,positive,TRUE,7
23,none,7,bus,negative,TRUE,6
23,foil,8,truck,negative,TRUE,6
23,target,9,plate,negative,FALSE,1
23,none,10,orange,negative,TRUE,5
23,foil,11,bear,positive,FALSE,1
23,none,12,fork,negative,FALSE,1
23,none,13,bicycle,positive,TRUE,7
23,target,14,pizza,negative,TRUE,6
23,foil,15,car,positive,TRUE,7
23,foil,16,bowl,negative,TRUE,6
23,target,17,cow,negative,TRUE,6
23,none,18,airplane,negative,TRUE,6
23,foil,19,boat,positive,TRUE,7
23,foil,20,banana,positive,TRUE,7
23,none,21,dog,positive,FALSE,1
23,target,22,cat,positive,TRUE,7
23,foil,23,spoon,negative,TRUE,6
23,foil,24,brush,negative,FALSE,1
24,target,1,cookie,negative,FALSE,2
24,target,2,car,negative,TRUE,3
24,none,3,banana,positive,FALSE,2
24,target,4,apple,negative,TRUE,7
24,target,5,horse,positive,TRUE,7
24,foil,6,pizza,negative,FALSE,2
24,none,7,cow,positive,TRUE,5
24,foil,8,cupcake,positive,FALSE,2
24,target,9,plate,positive,FALSE,2
24,foil,10,cup,positive,TRUE,6
24,target,11,truck,positive,TRUE,6
24,none,12,dog,negative,TRUE,5
24,foil,13,bus,negative,TRUE,5
24,none,14,airplane,positive,TRUE,6
24,foil,15,cat,negative,TRUE,5
24,foil,16,bunny,negative,TRUE,5
24,none,17,orange,negative,FALSE,1
24,foil,18,boat,positive,TRUE,5
24,none,19,bicycle,negative,TRUE,5
24,none,20,brush,positive,TRUE,6
24,target,21,bear,negative,TRUE,5
24,foil,22,bowl,positive,TRUE,6
24,target,23,spoon,positive,TRUE,6
24,none,24,fork,negative,TRUE,5
25,foil,1,dog,positive,TRUE,7
25,target,2,car,positive,TRUE,7
25,target,3,bear,negative,TRUE,7
25,none,4,orange,negative,TRUE,7
25,foil,5,cup,positive,TRUE,7
25,target,6,bicycle,positive,FALSE,7
25,target,7,horse,negative,TRUE,7
25,foil,8,banana,positive,FALSE,7
25,none,9,bowl,negative,FALSE,7
25,none,10,cookie,positive,TRUE,7
25,none,11,bus,negative,TRUE,7
25,target,12,cupcake,negative,TRUE,7
25,target,13,cat,negative,FALSE,7
25,none,14,apple,positive,FALSE,7
25,target,15,airplane,positive,TRUE,7
25,foil,16,plate,negative,FALSE,7
25,none,17,pizza,negative,TRUE,7
25,none,18,brush,positive,TRUE,7
25,foil,19,boat,negative,TRUE,7
25,foil,20,cow,positive,TRUE,7
25,none,21,spoon,positive,TRUE,7
25,target,22,bunny,positive,TRUE,7
25,foil,23,fork,negative,TRUE,7
25,foil,24,truck,negative,TRUE,7
26,target,1,cookie,positive,TRUE,5
26,none,2,cat,negative,TRUE,7
26,foil,3,truck,positive,TRUE,6
26,target,4,cow,positive,TRUE,7
26,none,5,banana,positive,TRUE,7
26,target,6,horse,positive,FALSE,6
26,none,7,boat,positive,TRUE,6
26,foil,8,bowl,positive,TRUE,6
26,foil,9,cupcake,negative,TRUE,6
26,none,10,bear,negative,TRUE,6
26,foil,11,apple,positive,FALSE,6
26,none,12,fork,negative,TRUE,7
26,foil,13,pizza,positive,TRUE,7
26,none,14,plate,positive,FALSE,6
26,none,15,bicycle,positive,TRUE,7
26,foil,16,bus,negative,TRUE,7
26,target,17,orange,negative,FALSE,6
26,target,18,bunny,negative,TRUE,5
26,target,19,brush,positive,TRUE,6
26,foil,20,dog,negative,FALSE,7
26,target,21,spoon,negative,TRUE,6
26,none,22,cup,negative,FALSE,7
26,target,23,airplane,negative,TRUE,6
26,foil,24,car,negative,TRUE,6
27,foil,1,orange,positive,FALSE,4
27,none,2,plate,negative,TRUE,5
27,none,3,spoon,negative,FALSE,5
27,foil,4,truck,negative,TRUE,6
27,target,5,bus,negative,TRUE,6
27,foil,6,cow,positive,TRUE,6
27,foil,7,bunny,positive,TRUE,6
27,foil,8,banana,positive,TRUE,6
27,target,9,car,positive,FALSE,3
27,none,10,cat,negative,TRUE,4
27,none,11,dog,negative,TRUE,3
27,target,12,bear,negative,TRUE,2
27,none,13,bicycle,positive,TRUE,6
27,target,14,cup,positive,TRUE,6
27,foil,15,bowl,negative,TRUE,3
27,foil,16,horse,negative,FALSE,2
27,none,17,airplane,positive,FALSE,2
27,target,18,cookie,positive,TRUE,5
27,none,19,apple,positive,TRUE,5
27,foil,20,pizza,negative,TRUE,3
27,target,21,boat,positive,TRUE,5
27,none,22,fork,positive,TRUE,6
27,target,23,cupcake,negative,TRUE,4
27,target,24,brush,negative,FALSE,2
28,none,1,bunny,positive,FALSE,6
28,none,2,cup,positive,TRUE,6
28,none,3,plate,positive,TRUE,7
28,target,4,cow,positive,TRUE,4
28,foil,5,truck,positive,TRUE,5
28,target,6,spoon,negative,TRUE,2
28,target,7,orange,positive,TRUE,5
28,target,8,banana,positive,FALSE,5
28,none,9,pizza,negative,TRUE,1
28,foil,10,apple,positive,FALSE,7
28,target,11,bus,negative,TRUE,1
28,foil,12,brush,negative,TRUE,3
28,target,13,car,positive,TRUE,7
28,none,14,cupcake,negative,FALSE,1
28,foil,1,horse,negative,TRUE,6
28,target,2,cat,negative,FALSE,1
28,none,3,airplane,positive,FALSE,1
28,foil,4,dog,negative,TRUE,6
28,target,5,cupcake,negative,TRUE,7
28,none,6,pizza,negative,TRUE,7
28,none,7,bus,positive,TRUE,7
28,foil,8,cup,negative,TRUE,6
28,foil,9,cookie,positive,TRUE,7
28,foil,10,cow,positive,FALSE,2
28,target,11,bunny,negative,TRUE,7
28,none,12,plate,negative,TRUE,4
28,target,13,apple,positive,TRUE,5
28,none,14,spoon,negative,TRUE,4
28,target,15,fork,positive,TRUE,5
28,foil,16,bicycle,positive,TRUE,7
28,none,17,bowl,positive,TRUE,5
28,target,18,car,positive,FALSE,1
28,foil,19,boat,negative,FALSE,1
28,foil,20,banana,positive,TRUE,7
28,none,21,bear,negative,FALSE,1
28,target,22,brush,negative,TRUE,6
28,target,23,orange,positive,TRUE,5
28,none,24,truck,positive,TRUE,7
29,target,1,cookie,positive,TRUE,6
29,target,2,spoon,negative,TRUE,3
29,target,3,cupcake,negative,TRUE,3
29,none,4,bunny,positive,TRUE,6
29,none,5,bicycle,negative,TRUE,3
29,target,6,fork,positive,FALSE,1
29,foil,7,dog,negative,TRUE,3
29,foil,8,pizza,positive,TRUE,7
29,none,9,plate,negative,FALSE,1
29,none,10,apple,negative,TRUE,3
29,target,11,brush,positive,TRUE,7
29,target,12,bowl,negative,FALSE,1
29,target,13,banana,negative,TRUE,3
29,foil,14,truck,negative,TRUE,3
29,none,15,airplane,positive,TRUE,7
29,none,16,cup,positive,FALSE,1
29,target,17,car,positive,TRUE,7
29,foil,18,bear,negative,FALSE,1
29,none,19,horse,negative,TRUE,3
29,none,20,orange,positive,TRUE,7
29,foil,21,bus,positive,TRUE,7
29,foil,22,cat,positive,TRUE,7
29,foil,23,boat,positive,FALSE,1
29,foil,24,cow,negative,TRUE,3
30,foil,1,bus,negative,TRUE,6
30,none,2,cow,positive,TRUE,6
30,target,3,bunny,positive,TRUE,7
30,foil,4,car,positive,TRUE,7
30,target,5,airplane,positive,FALSE,1
30,none,6,orange,negative,TRUE,6
30,target,7,cookie,negative,FALSE,2
30,foil,8,pizza,negative,FALSE,2
30,foil,9,brush,positive,TRUE,6
30,foil,10,cupcake,negative,TRUE,6
30,target,11,banana,positive,TRUE,7
30,target,12,dog,negative,TRUE,6
